2state_t,3,4,5,6,7,8,9
2state_Q,0.9507169505839906,0.8510572513058181,0.8453945731989394,0.8272919551736527,0.8409035524267154,0.8306196808150319,0.6549626195590471
2state_dZ0_q0_mean,-1.459438936176286,-1.4738992783574099,-1.4749405570538225,-1.4733893081373053,-1.4732623539445724,-1.473697998747281,-1.4759787938237923
2state_dZ0_q0_sdev,0.004966961657737558,0.015487172972999431,0.0119730218979169,0.024013081263002542,0.011247412897075338,0.010121540252160001,0.013709386335946478
2state_dgV_q0_mean,-4.305853278366514,-4.294429098625484,-4.274200207467582,-4.346119633066493,-4.30456379749301,-4.232207018531047,-4.194680736158252
2state_dgV_q0_sdev,0.05939237364774188,0.09169055895225622,0.1275259061185465,0.06130462682485115,0.057574998034682655,0.12395121052327375,0.09545161276954174
2state_dZ0_q1_mean,-1.470964614132848,-1.4851355474491297,-1.4860158787760656,-1.4862890392699457,-1.485220971170445,-1.4848579680667744,-1.4880676018234225
2state_dZ0_q1_sdev,0.006260289194389941,0.016702551791714534,0.01261364300562256,0.024686098763575956,0.01209696261515443,0.010621558354130813,0.014343651050030699
2state_dgV_q1_mean,-3.789431504210568,-3.8344924581615887,-3.817587750337449,-3.8560173127890143,-3.8367830139308032,-3.8138462008221445,-3.7886348132444163
2state_dgV_q1_sdev,0.045995300363853076,0.06663498977464935,0.09651725519080094,0.06544915253364755,0.07214126324095939,0.11917965018514529,0.09501474974648128
