1state_t,0,1,2,3,4
1state_Q,1.055052119217723e-26,2.31360131846674e-25,7.791386678792019e-26,3.0352751800340516e-25,3.2015342015390576e-25
1state_dZ0_q0_mean,-1.574328406732927,-1.5545920713104306,-1.5537748979207262,-1.5503400140452934,-1.5480543178955128
1state_dZ0_q0_sdev,0.010740759290436037,0.01556633427095738,0.014838566001358864,0.005136714089976505,0.004766991616616722
1state_dgV_q0_mean,-3.3104116185803862,-2.971443516060988,-3.0008900727618184,-3.1067286875166484,-2.9817834575442106
1state_dgV_q0_sdev,0.07255445553257249,0.055632703112005084,0.05764377705110187,0.16780007759442267,0.16647677389287982
1state_dZ0_q1_mean,-1.5803625890094941,-1.5604646953711518,-1.5594547112549477,-1.5554036580276536,-1.55274616494743
1state_dZ0_q1_sdev,0.012019878240883852,0.0169073189147613,0.01624097617676998,0.005393495809998596,0.004846764791268638
1state_dgV_q1_mean,-3.6348063684441168,-3.301548928738569,-3.290287042181345,-3.3467991107534276,-3.2496776316194347
1state_dgV_q1_sdev,0.08307918966718682,0.05325543910959246,0.05248277524823087,0.15709094629569775,0.1558952621977602
2state_t,0,1,2,3,4
2state_Q,0.8061422544242566,0.8230224518009952,0.9061234492481804,0.9341112054792498,0.9186157374210309
2state_dZ0_q0_mean,-1.5019646080414517,-1.4912339926357867,-1.4850821984121176,-1.4778729703397655,-1.4780376146951608
2state_dZ0_q0_sdev,0.009493043309958411,0.00631225470055308,0.003376653166118223,0.006609638953887592,0.006519114047970285
2state_dgV_q0_mean,-4.242099739391982,-4.264926788430616,-4.289570990570776,-4.280816467230122,-4.25650972983983
2state_dgV_q0_sdev,0.1264275003373759,0.038753581584774356,0.04220614158886262,0.04895777383063907,0.04261156289429921
2state_dZ0_q1_mean,-1.5108926562120033,-1.5003817694216464,-1.4946123254012784,-1.4882945930060487,-1.48846520387464
2state_dZ0_q1_sdev,0.010357146014421342,0.006886105992191537,0.003540908778998473,0.006893482493539658,0.006725836554852296
2state_dgV_q1_mean,-3.688852047956686,-3.9491964581961256,-3.8894605882820192,-3.879243506002325,-3.856429003369123
2state_dgV_q1_sdev,0.10126502031839549,0.04778759952034859,0.04007587034523127,0.04790229434186688,0.04029173700559471
3state_t,0,1,2,3,4
3state_Q,0.9693952856747297,0.0,0.9487255436476187,0.9207579823382659,0.9185779978228741
3state_dZ0_q0_mean,-1.4865507032098162,-1.4405873959352997,-1.485052491145988,-1.4777851541673448,-1.4762624716540689
3state_dZ0_q0_sdev,0.00649990423127919,0.001312265405840155,0.028315135207086305,0.024349569000043446,0.013732311824567887
3state_dgV_q0_mean,-4.362304587267741,-4.3843690047001775,-4.236283950779291,-4.360195167832521,-4.216675652424484
3state_dgV_q0_sdev,0.04355898137649558,0.028967737829952763,0.16662657347299845,0.18282671083107918,0.11936454547105305
3state_dZ0_q1_mean,-1.4963949529427454,-1.4583407517101663,-1.4950798822427052,-1.488318020840008,-1.4862260698422929
3state_dZ0_q1_sdev,0.006904977039130912,0.000968822596435287,0.028572998531576202,0.024504939811732955,0.013996491696616561
3state_dgV_q1_mean,-3.939350595100627,-4.29980415307041,-3.8179023387699034,-3.9540806405265525,-3.8186165892964707
3state_dgV_q1_sdev,0.0387156227643595,0.02701895816659514,0.14595842794557512,0.1631965442506175,0.10585883219083868
